text,label
"URGENT! You've won a free iPhone! Click here to claim your prize now!",spam
"FREE MONEY! Make $5000 from home today! No experience needed!",spam
"Congratulations! Your email has won the lottery! Send us your bank details.",spam
"Earn big money working from home! Limited time offer! Act now!",spam
"You have been selected for a free vacation! Click here to redeem!",spam
"LOWEST PRICES! Buy now and save 80%! This is not a scam!",spam
"Your account has been compromised! Verify your password immediately!",spam
"HOT SINGLES in your area want to meet you! Join now!",spam
"MAKE MONEY FAST! This really works! See testimonials!",spam
"Act now! Free gift card just for you! Limited quantities!",spam
"WINNER! You have won the jackpot! Claim your prize today!",spam
"Get rich quick! Secrets revealed! Click here!",spam
"Exclusive deal! 90% off! Only today!",spam
"Your email won a prize! Send $100 for shipping!",spam
"FREE gift! Just for you! Don't miss out!",spam
"URGENT BUSINESS PROPOSAL! Act immediately!",spam
"You have been chosen for a special offer!",spam
"Low interest loan available! Bad credit OK!",spam
"Double your money in 30 days! Guaranteed!",spam
"FREE trial! No credit card needed!",spam
"Hi John, can we schedule a meeting for tomorrow at 3pm?",ham
"Thanks for your help with the project. I really appreciate it.",ham
"The quarterly report is ready for review. Please check the shared folder.",ham
"Hi, just wanted to follow up on our conversation from last week.",ham
"Could you send me the updated documentation when you get a chance?",ham
"The team meeting has been moved to Thursday at 2pm.",ham
"Thank you for your patience while we resolved the issue.",ham
"Hi, I'm writing to confirm our lunch meeting for next Tuesday.",ham
"Please review the attached proposal and let me know your thoughts.",ham
"The server maintenance has been scheduled for this weekend.",ham
"Hi Sarah, thanks for the update on the project status.",ham
"Can you please review the code changes I pushed?",ham
"The document you requested is attached.",ham
"Let's catch up over coffee next week.",ham
"I received your email and will respond shortly.",ham
"Thanks for applying for the position. We will be in touch.",ham
"Your order has been shipped and should arrive by Friday.",ham
"Please find the meeting notes attached.",ham
"Happy birthday! Hope you have a great day!",ham
"Let me know if you need any help with the setup.",ham
